Line ID;CASE_ID
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;2
18;2
19;2
20;2
21;2
22;2
23;2
24;2
25;2
26;2
27;2
28;2
29;2
30;3
31;3
32;3
33;3
34;3
35;3
36;3
37;4
38;4
39;4
40;4
41;4
42;4
43;4
44;4
45;4
46;4
47;4
48;4
49;4
50;5
51;5
52;5
53;5
54;5
55;5
56;5
57;5
58;5
59;5
60;5
61;5
62;5
63;6
64;6
65;6
66;6
67;6
68;6
69;6
70;6
71;6
72;6
73;6
74;7
75;7
76;7
77;7
78;7
79;7
80;7
81;7
82;7
83;7
84;8
85;8
86;8
87;8
88;8
89;8
90;8
91;9
92;9
93;9
94;9
95;9
96;9
97;9
98;9
99;9
100;9
101;10
102;10
103;10
104;10
105;10
106;10
107;10
108;11
109;11
110;11
111;11
112;11
113;11
114;11
115;11
116;11
117;11
118;11
119;11
120;11
121;11
122;11
123;11
124;11
125;12
126;12
127;12
128;12
129;12
130;12
131;13
132;13
133;13
134;13
135;13
136;13
137;13
138;13
139;13
140;13
141;14
142;14
143;14
144;14
145;14
146;14
147;14
148;14
149;15
150;15
151;15
152;15
153;15
154;15
155;15
156;15
157;15
158;15
159;15
160;15
161;15
162;16
163;16
164;16
165;16
166;16
167;16
168;16
169;16
170;16
171;16
172;16
173;17
174;17
175;17
176;17
177;17
178;17
179;17
180;17
181;17
182;17
183;18
184;18
185;18
186;18
187;18
188;18
189;18
190;18
191;18
192;18
193;18
194;18
195;18
196;19
197;19
198;19
199;19
200;19
201;19
202;19
203;19
204;19
205;19
206;19
207;19
208;19
209;19
210;20
211;20
212;20
213;20
214;20
215;20
216;20
217;20
218;21
219;21
220;21
221;21
222;21
223;21
224;21
225;21
226;21
227;21
228;21
229;21
230;21
231;21
232;21
233;22
234;22
235;22
236;22
237;22
238;22
239;22
240;22
241;22
242;22
243;23
244;23
245;23
246;23
247;23
248;23
249;23
250;23
251;23
252;23
253;23
254;23
255;23
256;23
257;24
258;24
259;24
260;24
261;24
262;24
263;24
264;24
265;24
266;24
267;24
268;24
269;24
270;25
271;25
272;25
273;25
274;25
275;25
276;25
277;25
278;25
279;25
280;25
281;25
282;26
283;26
284;26
285;26
286;26
287;26
288;26
289;26
290;26
291;26
292;26
293;26
294;26
295;26
296;26
297;26
298;26
299;27
300;27
301;27
302;27
303;27
304;27
305;28
306;28
307;28
308;28
309;28
310;28
311;28
312;28
313;29
314;29
315;29
316;29
317;29
318;29
319;30
320;30
321;30
322;30
323;30
324;30
325;31
326;31
327;31
328;31
329;31
330;32
331;32
332;32
333;32
334;32
335;32
336;32
337;33
338;33
339;33
340;33
341;33
342;33
343;33
344;33
345;33
346;33
347;34
348;34
349;34
350;34
351;34
352;34
353;34
354;34
355;34
356;34
357;35
358;35
359;35
360;35
361;35
362;35
363;35
364;36
365;36
366;36
367;36
368;36
369;36
370;36
371;36
372;36
373;36
374;36
375;36
376;37
377;37
378;37
379;37
380;37
381;37
382;37
383;38
384;38
385;38
386;38
387;38
388;38
389;38
390;39
391;39
392;39
393;39
394;39
395;39
396;40
397;40
398;40
399;40
400;40
401;40
402;40
403;40
404;40
405;40
406;40
407;40
408;40
409;40
410;41
411;41
412;41
413;41
414;41
415;41
416;41
417;41
418;42
419;42
420;42
421;42
422;42
423;42
424;42
425;42
426;42
427;42
428;42
429;42
430;42
431;43
432;43
433;43
434;43
435;43
436;44
437;44
438;44
439;44
440;44
441;44
442;44
443;44
444;44
445;45
446;45
447;45
448;45
449;45
450;45
451;45
452;45
453;45
454;45
455;45
456;46
457;46
458;46
459;46
460;46
461;46
462;46
463;46
464;46
465;46
466;46
467;46
468;46
469;46
470;46
471;47
472;47
473;47
474;47
475;47
476;47
477;47
478;47
479;47
480;47
481;48
482;48
483;48
484;48
485;48
486;48
487;48
488;48
489;48
490;48
491;48
492;48
493;48
494;49
495;49
496;49
497;49
498;49
499;49
500;49
501;49
502;49
503;49
504;50
505;50
506;50
507;50
508;50
509;50
510;50
511;50
512;50
513;50
514;51
515;51
516;51
517;51
518;51
519;51
520;51
521;51
522;51
523;52
524;52
525;52
526;52
527;53
528;53
529;53
530;53
531;53
532;53
533;53
534;53
535;53
536;54
537;54
538;54
539;54
540;54
541;54
542;54
543;54
544;54
545;55
546;55
547;55
548;55
549;55
550;55
551;55
552;55
553;55
554;55
555;56
556;56
557;56
558;56
559;56
560;56
561;56
562;56
563;56
564;56
565;56
566;56
567;57
568;57
569;57
570;57
571;57
572;57
573;57
574;57
575;58
576;58
577;58
578;58
579;58
580;58
581;58
582;58
583;58
584;58
585;58
586;59
587;59
588;59
589;59
590;59
591;59
592;59
593;59
594;60
595;60
596;60
597;60
598;60
599;61
600;61
601;61
602;61
603;61
604;61
605;61
606;61
607;62
608;62
609;62
610;62
611;62
612;62
613;62
614;62
615;62
616;63
617;63
618;63
619;63
620;63
621;63
622;63
623;64
624;64
625;64
626;64
627;64
628;64
629;64
630;64
631;64
632;64
633;64
634;64
635;65
636;65
637;65
638;65
639;65
640;65
641;65
642;65
643;66
644;66
645;66
646;66
647;66
648;66
649;66
650;66
651;66
652;66
653;66
654;66
655;66
656;66
657;66
658;66
659;66
660;66
661;66
662;67
663;67
664;67
665;67
666;67
667;68
668;68
669;68
670;68
671;68
672;68
673;69
674;69
675;69
676;69
677;69
678;69
679;69
680;69
681;69
682;69
683;70
684;70
685;70
686;70
687;70
688;71
689;71
690;71
691;71
692;71
693;71
694;72
695;72
696;72
697;72
698;72
699;73
700;73
701;73
702;73
703;73
704;73
705;73
706;73
707;73
708;73
709;73
710;74
711;74
712;74
713;74
714;74
715;74
716;74
717;74
718;74
719;74
720;75
721;75
722;75
723;75
724;75
725;75
726;75
727;76
728;76
729;76
730;76
731;76
732;76
733;76
734;76
735;77
736;77
737;77
738;77
739;77
740;77
741;77
742;77
743;78
744;78
745;78
746;78
747;78
748;78
749;79
750;79
751;79
752;79
753;79
754;79
755;79
756;79
757;79
758;79
759;79
760;79
761;80
762;80
763;80
764;80
765;80
766;80
767;80
768;80
769;80
770;81
771;81
772;81
773;81
774;81
775;81
776;81
777;81
778;82
779;82
780;82
781;82
782;82
783;82
784;82
785;82
786;83
787;83
788;83
789;83
790;83
791;83
792;83
793;83
794;83
795;83
796;83
797;83
798;84
799;84
800;84
801;84
802;84
803;84
804;84
805;84
806;84
807;85
808;85
809;85
810;85
811;85
812;86
813;86
814;86
815;86
816;86
817;86
818;86
819;86
820;86
821;86
822;86
823;86
824;86
825;86
826;87
827;87
828;87
829;87
830;87
831;87
832;87
833;87
834;87
835;87
836;87
837;87
838;87
839;88
840;88
841;88
842;88
843;89
844;89
845;89
846;89
847;89
848;89
849;90
850;90
851;90
852;90
853;90
854;90
855;90
856;90
857;90
858;91
859;91
860;91
861;91
862;91
863;91
864;91
865;91
866;91
867;92
868;92
869;92
870;92
871;92
872;92
873;92
874;92
875;92
876;93
877;93
878;93
879;93
880;93
881;93
882;93
883;94
884;94
885;94
886;94
887;94
888;94
889;94
890;94
891;94
